df -h
Filesystem             Size  Used Avail Use% Mounted on
devtmpfs                16G     0   16G   0% /dev
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/329093855dc15362db258f49251a089a708cf1726ce5ae8661ff42a7d6538810/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/b9b0e22f3cb2973fd5ea8f7e308e0e4e84e6627f0171c875d5c6fb9b896b9085/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/6abdb1c9ea0d75b982178554627894ea6a3aa7f8a3d9a2acced46f612659886c/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/0b3133c1eadc59264dfb84ff4d67ab5fb4fac69dc31205c018bc27b3d8c0340e/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/b1c9f0a07c98407976e3cb62fad2ac263b36d221cd93bb11af540ede67c72275/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/5dd9e87036bdd83982bc55460e256dd1e683fcf93773c5221e492bd96726b567/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/b3da9619c49fd2c4c5dd0b136c5315e6cfdc6e6cf37f20bc49915d3c5f2cae6f/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/915a7f2d514ee74c5110d35ac6b5411db8a5dec21fc1041557c650eea31e1bd5/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/4bc73b1ad6937179ebf7be0e7c78b71cc21027e7a332cf59b845b5a51e856fd9/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/5c49f1feb254f74459a0f32b7324ed7397d3851c29db16867b76f1b1e5c08887/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/8d5114c5aec47d1abf508c3b05a7afc9e52f4ff0bd4f4380936f3cac0f7649fb/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/2c5610d36107866deaeba5fc9787b4291a3fe07980f9c598101b51606790616a/merged
[root@TENXSD-NW-AIOPS VPN-Monitor]# 
